Ward Code,Diabetes_2010,Hypertension_2010,Diabetes_2011,Hypertension_2011,Diabetes_2012,Hypertension_2012,Diabetes_2013,Hypertension_2013,Diabetes_2014,Hypertension_2014,Diabetes_2015,Hypertension_2015,Diabetes_2016,Hypertension_2016,Diabetes_2017,Hypertension_2017,Diabetes_2018,Hypertension_2018,Diabetes_2019,Hypertension_2019
E05000299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
